sentence,hate,category
রকম মুভি দরকার পুরো মুদি জোস বিষ রমজান কাকা অভিনয় টা অতুলনিয়,0,entertainment
মাগি দা কতো রস,1,crime
রং ধন্যবাদ দিল,0,sports
মুভি টা সুন্দর,0,entertainment
চোখ জল আসল আল্লাহ্ হক পন্থি আলেম হেফাজত করা ৷ আমি ৷,0,religion
ভাই ছবি আপলোড দিল চুদে আপনাদের,1,entertainment
পাপ মুখ খুন গদি কখন জানি টান মার চিন্তা শালা গাঁজা খুরি বার্তা পদত্যাগ করা দেখা আসল চালাক,1,sports
অপরাধ বিচার দেইখা অপরাধ সংখ্যা বৃদ্ধ পায়তারা,0,crime
খান পোলা বেল কই গান গাইতে শুনা মাগি বাচ্চা তর মায়া তুর বাপ কান্না ফালাই চুদি দার পোলা,1,sports
জ্ঞান হাওয়া এগুলো নাটক খান মাগনা রাস্তা ফালাইয়া সাধারণ জন মিল চোদা,1,crime
যে সালা সের পাংশু নিছে সালা খাই,0,entertainment
এস পাপ চাল বাস পায়খানা সাকিব মেলা ফেল বাংলাদেশ ক্রিকেট ধবংস দেওয়া পাপ সভা পদ বহিষ্কার বাংলাদেশ জিম্বাবুয়ে,0,sports
বাল ছি পারদ সরকার মাল,0,crime
দারুণ দিল,0,entertainment
ভালোবাসা মর তবে সুখ,0,entertainment
শালা জামালপুর খেয়ে দিল শালা পাইল পোষা কুকুর পুটিং মারাত্মক,1,crime
দুষ্টু গরু শূন্য গোয়াল ভালো,0,sports
নাউজুবিল্লাহ মুসলিম মুসলিম নাম কলকল ইবলিসে দল,0,religion
ভাই মুসলমান আগের জন মান,0,religion
সালা লোক কেনবৌটাকেও তোলা দাঁড়াশ মদত দেওয়া সব কুলাঙ্গার ছেলে বউ থাকা ভালো শিক্ষক ছেলে আবার বল রাগ ফেলেছিক্ষমা চেপে সালা ওকে ভাব মারা,1,"Meme, TikTok and others"
মাগি পুর দুই মাগি ঘুরে শালা বল মাগি না টানানো নুর সহযোগ সারা মাদক,1,politics
বাংলাদেশ খেলা ভোলে যাওয়া নাড়া বাল গের বদনাম,0,sports
মম মায়া বাপ ফাহমি মায়া বাপ বিচার কার্তিক শালা পুত ছি মায়া বাপ,1,entertainment
দৃষ্টি কস কা দৃষ্টি পা বাংলা শিং ইংরেজি পা আমেরিকায় বই বাপ ট্যাঙ্ক নষ্ট কইরা বাংলাদেশ রত ও কাম করো মা বাপ কিছু রত পাই নাই টোটাল লস,0,entertainment
সাকিব বাদ দিল আগুন বালি দিব,0,sports
শালা নুচ্চাগো,1,crime
দু মাগি বাচ্চা,1,crime
সালা মাদারচোদ,1,sports
লুইচ্চা মাদার ফাকার আসল রুপ পোলা বুঝ শিখ,1,celebrity
খান মাগি জঘন্য হত্যা মূল তা সন্দেহ,1,crime
গর বেয়াদব মদ খাওয়া সালা মদ খাই তো বুদ্ধি হইচই,0,sports
গালি জাতি ধর নিজ কি পারদ আরেক সমলোচনা ঠিক,0,sports
খুশ সাব্বি চাপে জন্য যাপন সেঞ্চুরি সমালোচন আরো সাহস দেয়া দরকার বিশ্বকোষ ভাল,1,sports
আরে দেশ বিচার জাগা হুজুর থাক সারা বাংলাদেশ চই সুরু জেতা,0,crime
পাপ মাদার জেনে থাক কেনো বল,0,sports
বাল ডাইলগ বস্তি মার্কা,0,entertainment
ফিনিশ ফিনিশ,0,sports
সানাই তোর দা,1,entertainment
কম ধামা দেয়ার সুজন বিচার চাওয়া,0,crime
সব ফারিয়া হইচই অস্ট্রেলিয়ান গা মম দেশ মাগি দার ওয়ালা টা হইচই গা খোর খান পোলা,1,entertainment
তাহা নিজ সংসোদন করো,0,religion
গা বাপ মান কাসেমী চিন্তা ওলিপুরি চিনিস পাগল ছাগল দল,1,religion
সূরা ফাতেহা মামুলি হক ভুল হালাক নাস্তিক কতগুলো,1,religion
রকম নুসরাতে পরিবার দিন কান্না জন্ম কুলাঙ্গার সন্তান কারন,1,crime
ছটো বেলা পুরাণ ছবি গান সুনছি কলা পুরাণ ছবি,0,entertainment
তোমার দেওয়া হুজুর বিরুদ্ধ প্রচার করা আল্লাহ্ হেদায়েত করুক মরা মুনাফা করিতেছ,0,religion
হাফ খুনি পরিচয় দেওয়া,0,crime
দুধ বিক্রি লিটার টাকা দিবোনে,1,entertainment
ক্রিকেটার বাংলাদেশ প্রয়োজন,0,sports
ভালো গা মারা হাহা,0,entertainment
কেমন মজা খারাপ,0,sports
ভাই ক্যামেরা লাগিয়েছে জাতি আনা পুরুষ,0,crime
মিথ্যা মহিলা ছড়া ধর সত্য বল মেয়ে রিমান্ডে নিলে সত্য বের চোর চুরি শিকার করেনা,0,crime
খেলা দেখা রাসেল ব্র রাজশাহী গেলো ফাইনাল ঢাকা অপেক্ষা করা আসত্তি খেলা ফাইনাল,0,sports
মিজানু রহমান হার হুজুর তুলনা ভন্ড তাহা নিজ মিজানু রহমান হার হুজুর তুলনা,0,religion
রাসেলে কারন অনেক কপাল পুড়েছে রাসেল ভালো খেলোয়ার নন্দন রাজশাহী,0,sports
গুলো জানোয়ারের খারাপ,1,crime
আসল রুচি,0,entertainment
পাত কলেজ আসা নয়ন জানলো মিন্নি বল আসা প্রেন,0,crime
পাপ সেচ পদত্যাগ উচিৎ,0,sports
মেয়ে পাগল,0,sports
ভাই ও সরকার বালতি,0,entertainment
প্রিয় সাল প্রিয় হোম ফরিদী মাঝে আসা সুবর্ণ মুসলমান হুমায়ূন ফরিদী ছেড়ে স্বার্থ হাসি সামিরা চৌধুরী সাল শাহ হত্যা সুখ সংসার আজ দুনিয়া রে ভাই,0,entertainment
আহারে সুখ শান্তি শান্ত,0,crime
শালা বোকা বাঙালি গান্ধি হিজড়া হিজড়া মজা নিচ্ছিদ্র হাহা মর গেলাম,1,"Meme, TikTok and others"
ঠিক বিচার আলোচ্য সমালোচন অনুচিত,0,crime
দেওয়ানবাগী বিশ্বাস কাফের অফ দেওয়ানবাগী কুত্তা বাচ্চা সন্দেহ,1,religion
রকম বিকৃত মানসিক লোক কখনো বাংলাদেশ দল আসুক,0,sports
মাদারচোদ তর বয়স নাক টিপ দুধ বের বাল পাক আইছে ওয়াজিব এগুলো অই শিশু দোষ দোষ বাবা মা,1,religion
পাপ মায়া বাপশালা একেবারেই ইচ্ছে,1,sports
লুচ্চামি মেয়ে চাকরি রাখা লুচ্চা,1,crime
হ আল্লাহ্ তাদের শাস্তি জাহান্নাম জায়গা,0,religion
তরে থাপ্পড় টেস নামা হারামজাদা,1,religion
কাইন্দা লাভ,0,crime
গর্ত ভেতরে লুকানো মুক্তিযুদ্ধ গল্প শোনা গর্ত গর্ত মুখ মহান মুক্তিযুদ্ধ কাল্পনিক গল্প শোনা বোকা যার ডাকা ন্যাকামি জাফর মীর জাফর গোয়াল দুষ্ট বলদ বাঙালি ব্রিটিশ আমল বিপদ,1,celebrity
তর৷ মার তুই চুদ৷ মাগি পোত,1,sports
অপু পতিতা লাগা খান মাগি,1,politics
ঘর কেন বিরিয়ানি ফুতপাতে চটপট খাওয়া না পেট খারাপ বেচারা,0,crime
গাছ বলদ নাটক পরিচালক বাল,1,entertainment
সিল মান ইজ্জত ডুব চোদা দল গঠন,1,sports
বর্ষা গেন্জি আনারস মধু আনারস চত্তর পড়,0,entertainment
মাগি বাচ্চা সবাই ইসলাম বিরোধ খানকিরপোলা,1,religion
আগের ছবি গুলো খারাপ,0,entertainment
এর সানাই তোর বল ছেকছ বিডিও রত দেঁতো একটু,1,entertainment
ধু হাল চামচা,1,celebrity
খান ছেলে,1,celebrity
সানাই কুকুর চোদা,1,entertainment
আসল কাহিনী গুলো ত কে ছবি মজা পেলাম কারন টাই অংশ কে,0,entertainment
খান পোলা পা চাই বি সি পাস কইরা আমলা প্রজা রাজা সে মন কুত্তা বাচ্চা নুনু কর্তন,1,crime
পতিবিন্ধ চুপ করা ওহাবি কি নাসা,1,religion
কুত্তা বাচ্চা চোর হালাক জুতা পিঠা,1,politics
দের বিরুদ্ধ একশত ত্বরা বাস্তব ইয়াবা ব্যবসায় করিস থানা দের নাম জি,0,crime
হাল বলদ নং ওয়ানডে,1,celebrity
দেওয়ান বাগি কুত্তা ধন মুখ ঢুকামু সালা,1,religion
মাশআল্লা আল্লাহ্ হায় দেক,0,religion
কুকুর টার নাম ঠিকানা অামি কুকুর টাক পিটা,1,"Meme, TikTok and others"
ভালোবাসা,0,sports
ছবি কাহিনি ভাল কাটা কাট মজা,0,entertainment
ম্যাচ হার সমস্যা জিত সমস্যা সেলিব্রেশনেও সমস্যা ক্রিকেটার টা আজ জাতি বাঙ্গালী,0,sports
চুতমারানি পোলা ভিড় হইচই মিনিট হইচই মিনিট চোদা কা,1,crime
এতো থাকা ছেলে কিভাবে মার,0,crime
মদি মেরে ফেলা,1,"Meme, TikTok and others"
ম্যান অফ দ্যাখ ম্যাচ হইচই কারো থাক লেন,0,sports
সরা দুয়ার সবাই,0,crime
সৌম্য দেখা,0,sports
মুশফিকুর যান ছিলা খারাপ খেললে সমালোচন করতেই গা হাত ফ্যান জন্য বিখ্যাত মুশফিকুর কঅত খাওয়া জন্ম বাংলাদেশ খেলা মুশফিকুর সংযত দরকার,0,sports
শাক ভাই ছবি মুভি গুলো সাধারণ,0,entertainment
হল খবিশ দ্রব বড় বেড় সালা অনলাইন বাহাদুর পারলে সরা বস,1,religion
মা ভালোবাসা হাত তুলুন,0,entertainment
নাস্তিক গুলো বিরুদ্ধ আল্লাহ্ বিচার রইল,0,religion
বেলে ভাল ভাল খেলুয়ার দেশ গাজন খুর খেলতে,1,sports
যা দেশ অাইন নাম জিনিস এখন,0,crime
গল্প হুমায়ূন আহমেদ দিয়েই সম্ভব অনল হুমায়ূন আহমেদ ইজ রিয়েল,0,entertainment
মুশফিকুর মায়া চুদি ও মায়া চুদি,1,sports
দুনিয়া নবী স শিক্ষক মহান আল্লাহ্ স্বয়ং তিন শিক্ষক জিব আ রাসুল স করা পড় চুপ আল্লাহ্ পড়া শক্ত তিন ওপর না সূরা আলাইকুম আয়াত,0,religion
ভ্রান্ত বেড়া মুক্ত সত্য উপলব্ধি সমক্ষ প্রচার আপনাকে শেষ ধন্যবাদ প্রিয় ভাই,0,religion
সালা পোরা কই ভিড়,1,entertainment
দেওয়া মাগি,1,religion
হাই ওয়ানডে বেল,0,sports
দোয়া বাচাল গুলো জিব সুন্দর,0,entertainment
বাংলাদেশ আইন ভিড় পুরা পোস্ট বোঝা যা মিনি জড়িত বের হ মিনি তাকানো কোথায় মিনি বাইক উইঠা চইলা যা হয়তোবা হত বাংলাদেশ আইন এত ঢিলা ঢালা বোঝা এখন মিনি গ্রেপ্তার রিমান্ডে নেওয়া শাল মেন খুনি,0,crime
সেক্স,1,crime
খেলা বাদ দেওয়া,0,sports
মাগি খারাপ,1,entertainment
মায়া দা দিয়া জন্ম হয় পুটিং দিয়া মা বোনাস কুত্তা দিয়া চোদা খান পুত উল্টা পাল্টা জিনিস ছারোছ জিব মায়া মাসি লাগা কুত্তা চোদা জন্ম জিব বড় লেহাইয়া লেহাইয়া জিব বাজা চোদা কেনো,1,sports
কোয়া কাদিরা শালা বাংলাদেশ গর পেট লাথ্থি মার রেয়াই পাই কোয়া কাদিরা বাংলা মাটি রেয়াই পাবক,1,politics
বেজার বাচ্চা তগো ভইরা দিমু,0,religion
ফাসি হ চোদা পুল,1,crime
তরে আরো পা ঘন দার দরকার মা তর দার ভিতর পানি,1,crime
ইন্টারনেট থাকার কারণে বৎসর আবারও পেলাম,0,entertainment
খুবসুন্দর সচেতন মূলক নাটক দেবার মেহেজাবিন আরফান ভাইকে ধন্যবাদ,0,entertainment
সাকিবের লাভ হলোকারণ সাকিব জানে কার ইশারায় কল কাটি নড়ে প্রশ্ন হলআইসিসি কোথায় পাপইননা হালার বিরুদ্ধে যাওয়ায় এলআর নাম্বারি করবিসব একদিন প্রকাশ,0,sports
পোড়ি বেস টা সুন্দর মোটামুটি সরিলটা ভাভআসছে হৈ চৈ,0,entertainment
ভগবান শ্রীকৃষ্ণের বলছেন বালো বাসা আনোদ ভকতি তাৰা নাথা ভালো,0,entertainment
আবালের বাচ্চাগুলোকে জুতার বারি শিখানো উচিৎ,1,entertainment
হালার ঘরের হালা,1,sports
মুরগি চোরা শাহরিয়ার কবির কুত্তারে দেশ লাথি মেরে বের উচিৎ মুজিব হত্যাকারীদের পাশেই আছেন সামিয়া রহমান বেশ্যা কোথাকার,1,religion
ভাল রোস্ট বালের মাসুদ রানা,1,entertainment
পাপনের মা রে চুদিবাংলাদেশ বোড মা রে চুদিসবায় বল পাপনের মা রে চুদি,1,sports
চামচা গোলি দের পিটানুর দরকার চামচারা খেলা বোজে,0,sports
শেষ অতি বাস্তব,0,entertainment
খানকীর পোলার গো নাটক দেখলে অামার ধন কাড়ায়,1,politics
ফকিরনির বাচ্চারা বমিমার্কা কমেন্ট হাজির্ বমি জোর খাইয়ে দেয়া উচিৎ,1,celebrity
মাদারচোদের বাচ্চারা ফাঁসি দরকার,1,"Meme, TikTok and others"
অকে দোলাই বেৰকৰে দেউয়া হক অই শালাৰ বাচ্চা মাজাৰেৰ বন্ধমি পিৰ,1,religion
দিনের বাচ্চা কই বালই হয়ই,0,religion
পশ্চিম বাংলার বাংলাদেশেও চলছে হিন্দি উর্দু আগ্রাসন জয় বাংলার পরিবর্তে একদিন জয় হিন্দ পাকিস্তান জিন্দাবাদ ,0,entertainment
অপরাধী শেষ নাটক,0,entertainment
সৌম্য দা,0,sports
সাকিব শাবনূর আপু দারুন সুপার অভিনয় ধন্যবাদ সাকিব শাবনূর আপু,0,entertainment
কুত্তার বচ্চা নামাজ নিয়া গালি দিলি,1,"Meme, TikTok and others"
বুঝিনা সামান্য ব্যাপারটি পুলিশের মাথায় আসছেনা,0,crime
এসব আবালচোদা বিচারকদের কুত্তা পিঠা দেওয়ান দরকার,1,entertainment
নাটক টা লাইক দিলাম শুদু তানজিন তিশার কারনে,0,entertainment
কুত্তার বাচ্চার বাসা কই,1,"Meme, TikTok and others"
অবশ্যই শালী নংবেশশা,1,religion
ডিসি লুচ্চার সর্দার দালালি করবেননা,1,crime
স্যারে দোষ দোষ মাগি,1,crime
বান্দির পোলা দের খেলোয়াড়দের ইমেজ নষ্ট,0,sports
এফডিসি র নায়িকা ছোট্ট পর্দা র গায়িকা বিশ্ববিদ্যালয় র ছাত্রী অবশেষে পিয়ন চুদলি বাব দাদারা পরের বাড়ির কামলা খাটতো মায়েরা পরের বাড়ির ঝী র করতো,1,crime
গান খায়া গাঞ্জা বানাইছস,0,entertainment
আসলে ওপু সরিল খুবি পছন্দ চখে,0,entertainment
বাঘের বাচ্চা শিয়ালের বাচ্চা চারটি,1,religion
নুসরাতকে কয়েকগুণ শারিরীক মানসিক কষ্ট হত্যা,0,crime
শায়লা দুধ পাছা,1,entertainment
মুভিটার একশন খুবই দারুন,0,entertainment
মাদার চুদ আমিতরে চুদুম,1,"Meme, TikTok and others"
পযসা কামালে হওযা যাযনা জানোযার আরে বাপ তোকে পিথ্বিবি আলো দেখিযেছে রে জানোযার,1,"Meme, TikTok and others"
মাগির বাচ্ছা পাপন্না,1,sports
ধন্যবাদ আপনাকে দাড়ি থাকলে অসুবিদা,0,crime
সালি গো গোড়া দিয়া মারতে,0,entertainment
এইটা মেয়ের দোষ ভাল খারাপ মেয়ে,0,crime
পাপন নান্নুর বাদ দেয়া এখনই দরকার একমত লাইক,0,sports
আসলে শালা কাউয়া কাদের,1,politics
শাকিব খান ফারিয়া ফাটিয়ে,0,entertainment
নাটক লাভ টেকনিকাল সমস্যা র কর্তৃপক্ষেরনজর,0,entertainment
দর্শকের খারাপ আচরন কয়টা কুকুরের বাচ্চা রবি নামের কুকুরের বাচ্চা গাঁজা খোর ইয়াবা খোর ফেনসিডিল খোর খারাপ আচরন গাঁজা খোর কিভাবে গ্যালারিতে আসে দর্শক ভালো খারাপ মন্তব্য দোষের,1,sports
মিথ্যা বলতেছেতুমি পদত্যাগ করোকোন বল জানো নাজানো কেনো,0,sports
ভারতিয়বাঙ্গালী অসাধরণ লাগলো সুন্দর ছবি,0,entertainment
ছাগলের দল আরবি উচ্চারণ রে খেহবে সঠিক উচ্চারন হবের জ খ,1,entertainment
চ্যানেল চুতিয়া পুরা ভিডিও,1,crime
সালা সালিদের জুতার মালা উপহার দেও ভাই ,1,entertainment
জুতালিগ চোর লিগ,1,politics
মিন্নি,0,crime
অসাধারণ হয়ছে ভাইয়া,0,entertainment
এমনিতে সকিব মুভি দেখিনা মুভিটা ওনেক ভালো লাগছে,0,entertainment
বাংলাদেশে মানুষগুলো সচেতন চোর দূনীতি বাজ ঘুষখোর ধর্ষক ,0,crime
দারুন হাসির নাটক,0,entertainment
করতি ইচছা,1,"Meme, TikTok and others"
আই মাগি গো পতিতালয়,1,crime
স্যারের দোষ জানি তুমার বোদায় এতো চুলকানি জানতাম,1,crime
শেষ সারির ইউটিউবারদের একটু দয়া করুন ভাই বোন দাদা দিদিরা ভিডিও গুলো আপনাদের ভালো লাগবে দিচ্ছি গরীব ছেলের চ্যানেলটি বেড়ে উঠতে স্বপ্ন পূরণে সাহায্য করুন প্লিজ ইউটিউব চ্যানেল,0,entertainment
হত্যাকাণ্ডের পিছনে রিফাত স্ত্রী সরাসরি পাবে জড়িত,0,crime
প্লাটুন,0,sports
বালের পরিচালক,1,entertainment
মিথ্যা পুলিশ,0,crime
খানকির পোলা মাগির পোলা মারে চূদি মাগির পোলা ইসলামের বিরুদ্ধে বলিস,1,"Meme, TikTok and others"
চুদির বেটা রুবেল,1,sports
মাদারচুদের রিমান্ডে দরকার অফিসসে কেনোঅফিসকে অপমান পুলিশ কোথাই,1,crime
শালা বাটপার,1,religion
দাড়িওয়ালা কাকের বাসার মাথা লোক বিচারক চ্যেনেল আইর মহলের লোকেরা প্রতিনিয়ত গাঞ্জা খায় গাঞ্জা খাইলে লোকেরে বিচারক বানাইতো,0,entertainment
শালারে ফাঁসি,1,"Meme, TikTok and others"
মাগিরে নিগরো কুরু পুসদিলে সত্তি বেরিয়ে আসপে,1,crime
ভাই পাপন সাহেবের এলাকার বলব পাপন সাহেবসাকিব ভাইয়ের কাজটি পাপন সাহেব পিছনের,0,sports
ভাই রঙ্গিলা ছবিটা চাই পাই মিললে ছবিটাকে পাব একটু দিবেন,0,entertainment
মাদারছোদ,1,"Meme, TikTok and others"
পাপন সাহেবের যেযারা দলে ঘরোয়া ক্রিকেটে ভাল পারফরমেন্স বেতন বোনাস হারেই বাড়ানো হবেযারা ম্যাচ খেলবে ম্যাচ রান সাজ ঘরে কিভাবে বেতন বাড়ানোর বলে!!!লাখ লাখ টাকা বেতনেও খেলাই ভাল ক্রিকেটে,0,sports
বাংলাদেশি নাটক সুন্দর ইন্ডিয়ান চ্যানেল পিছনে সময় জানিনা,0,entertainment
বেপোয়া বাংলা ছবি,0,entertainment
খানকির পোলা পোলা জন্ম দেয়ায় ভুল,1,"Meme, TikTok and others"
গরু কোথায় আসলো,0,religion
সুটিং কোথায় জায়গার নাম,0,entertainment
নষ্ট হাজারও ভালবাসায় কষ্ট,0,entertainment
কুকুর শালা,1,"Meme, TikTok and others"
সবাই মাস্তান দেখলাম বেটা তগ খেলা আফগানিস্থানের হারে লজ্জা,0,sports
তরা সাউয়া মুকা নামাজের পূজার মিল করস সালা,1,religion
লোকটাকে গুলো থাপ্পড় দিলো বুকে লাগল,1,"Meme, TikTok and others"
আপনাদের ডিস্টার্ব কারনে আসল কামডাই আহারে বেচারা,0,crime
বেয়াদফটা নাম্বার ওয়ান বন্ড,1,religion
গালি দিবো এমনিই জারজ সন্তান কপালে হেদায়েত আল্লাহই ভালো জানেন,1,religion
কুকুর বাচ্চা হাতের পাইতাম হাতলে কুকুর দিয়া রেপ মাইরা ফালাইতাম,1,religion
সালির মুখে মালউট মোন চায়বে বড় বড়,1,entertainment
আড়ালে কাঁচা মাংস বিক্রেতা,0,religion
মিথ্যা ঠিকিই বেঁচে আছো গানে মিথ্যা বলো কেনো,0,entertainment
আরে পাগল ছাগল জারা খায় তাদেরকে ক জার মাজার তারে কছকে মাওলানা চুদির পুত,1,religion
আরে খানিক মাগি তর জগ্যোতা মাদার তেরেশা বলসিস খানকি মাগি তর দুদ টেনে ছিরে দিব,1,entertainment
সবকটা জানোয়ার জানোয়ারের মতন,1,entertainment
ভাষা বলার অসাধারণ অভিনয়,0,entertainment
আজকে বাংলাদেশের খেলা দেখবো পাপন সাহেব আপনাকে ধিক্কার জানাই আগের ঘটনা কেনো পাপন সাহেবের এতো মাথা ব্যাথা আসছে,0,sports
প্রিয় মান্না ভাই,0,entertainment
ভাই বাংলার বধু বাপের টাকা গরীবে বউ ছবি গুলো দেবেন আশা অনুরুদ টুকু রাগবেন,0,entertainment
নাস্তিকের বাচ্চাদেরকে থাপ্পর কান ফাটিয়ে দেই জাহেলের বাচ্চা জাহেল,1,religion
চুতিয়ার বাচ্চাটা উলটা পালটা,1,sports
অ প্রত্যাশিত,0,entertainment
ঘটনা মিন্নি ঘটিয়েছে,0,crime
বাজে খারাপ বুঝলাম জানিনা সম্পক কেমন ভালোবাসা ফালতু ভিডিও করলো আরো বড় লুচ্চা খারাপ আরে শত্রুতা থাকতেই রাগ জানে মাইরা ফেল ছোটলুকি কাজের মানে,1,crime
শিশু টার কস্ট মা টাকে ফাঁসি দেয়ে জাবতজীবন দিলে ভাল,0,crime
গানের প্রিন্ট গুলো বাজে দয়া কিছুটা ভাল প্লিজ,0,entertainment
খানকির পোলারা চামচামি চোদায় সামান্য জিনিসটা নিয়া নাটক চুদায়,1,sports
বিদ্রোহী কবিতা গান,0,entertainment
খানকির পুলা তর চেনেলের মাইরে চুদি চিনিস,1,religion
তিন কুত্তা কুতন্নি অযথা ঘেউ ঘেউ এদেশের স্বাধীন মূর্তি টাঙ্গানোর হিন্দু মুসলীম বৌদ্ধ খৃষ্ঠান বাংলায় সবাই স্বাধীন ,1,religion
তাহেরির দালাল বসেন বসেন,0,religion
শালার পুতেরে ফাসি দরকার,1,crime
অপূর্ব অপূর্ব,0,entertainment
প্রিয় বন্ধু শাকিব খান অপু বিশ্বাস,0,entertainment
বালটায় ক্ষমা হালা ভন্ড,1,religion
কুত্তায় চোদে রাস্তা ঘাটে হাসে চোদে বিলে জামালপুরের ডিসি চোদতে গিট্টু লাগাইছে বালে ,1,crime
খুশি পাপন ভাই জার বেতন লাখ বেতন বারান,0,sports
রুবেলের ছবি আবারো আপনাদের ধন্যবাদ,0,entertainment
দোষ বিচিবির আবাল মার্কা কর্মকর্তারহ্লার পুত্রা ভালো প্লেয়ার আনতেই পারেনাবরং ছিলো তাদেরকেও ধ্বংস দিছে,0,sports
আরেক সাকিব জারা তাল মিলিয়েছে যুদি হতো সাকিব একা পারতো সকলের পতি অনুরুদ জারা আন্দলন আপনেরা সকল খেলোয়াড় দের বলছি আপনেরা সকলে,0,sports
বারি কোথায় শালার বেটা চুদে মেরে ফেলা বাবা মারছে,1,"Meme, TikTok and others"
অপু উকিলকে টাকার পতিতার লাগে,1,politics
মিজানুর রহমান আজহারী বাই সুন্দর ওয়াজ সালা তাহিরি বন্ড,0,religion
পাপনদা অাপনাকে চায়না অাপনে বুললেন,0,sports
আরে গাধাঁর বাচ্চারা জাফর ইকবাল স্যার ফেবু পন্ডিত ফেবু সুশীল ওনি এইসব টাউটামি পড়বো তারে এতোই খারাপ লাগে কেনন সবকিছু আশা করছ দেশেতো বহুত বুদ্ধিজীবি সুশীল সেলেব্রিটি চুতিয়ারা,1,celebrity
জীবনের চাইতে বেষ্ট মুভী,0,entertainment
সিনেমা বাস্তব প্রতিবাদ ইচ্ছা বাস্তবেও লোকের উপায় বিচারক চাকরির অশিক্ষিত নেতার সুপারিস পা টিপতে দেশে নিতি বাচাটা অসম্ভব,0,entertainment
