sentence,hate,category
সত্যিকারের ভালবাসা কখনো<br />হারিয়ে যায় না?<br />হয়তো বা মানুষটা কিছুই সময়ের জন্য<br /> তার জীবন থেকে হারিয়ে যায়।।<br />আর সেই সৃতি গুলা দুইজনকে কষ্ট হয়ে ভাসে জীবন নামের রেল লাইন টা,0,entertainment
ভাই এই শয়তান টা দজ্জালের দালাল। আরে ও তো একটা নাস্তিকের বাচ্চা নাস্তিক। সে যদি নাস্তিক নাই হয় তবে কেন কোরান হাদিস সম্পর্কে এই ভুল কথাগুলো বলল। আরে সে যে কত বড় ডাকাত সেটা বাংলাদেশের জনগণের বুঝার কোনো বাকি নেই। সে প্রকাশ্যে এত বড় ভন্ডামি কথাগুলো বলছে তাও আবার কোরআন হাদিস সম্পর্কে। শয়তানটা মারা গেছে না এবার বুঝবে। ঠেলা,1,religion
হালার পুত পাপন😠😠হ্লা নমরুত ফেরাউন ও এত্তো বড দোখাবাজ ছিলনা!!হঠাও পাপন বাছাও ক্রিকেট✋✋,1,sports
বি বাড়িয়ার বদনাম হচ্ছিলো,0,religion
? থেকে ? দেখলে বুঝা যায় মিন্নি কি এ খুনের সাথে জড়িত কিনা। মিন্নির হাটার ধরন দেখলে বুঝা যায়,0,crime
সারোয়ার আলম সার কে ধন্যবাদ,0,crime
আরে এইসব আকাম কুকাম সবাই করে। দেখা যায় তুইও করছোছ কিন্তু এখন সাধু সাজছোছ। আমরা কেউ ই ধোয়া তুনসি পাতা না।এই খানে যারা কমেন্ট করতেছে তাদের ভেতরে অনেকেই এইরকম কাজের সাথে জড়িত সে মেয়ে হোক বা ছেলে। অহরহ স্কুল কলেজের ছেলে মেয়েরা রিক্সা সিএনজি গোপন বাসা বা হোটেল পার্ক ইত্যাদি জায়গায় গিয়ে যৌবনের রস বের করছে।তাই বলব এইগুলা কখনো বন্ধ হয়নি আর হবেও না।।আর তুই খানকির পোলা এই সুযোগ গুলা কাজে লাইগাইয়া ভাইরাল হওয়ার ধান্দা খুজোছ বাইনচোদ। আরে খানকির পোলা তোর নিজের ই তো ঠিক নাই। দাড়ি রাখছোছ তাও আবার স্টাইল মারাইয়া একটু।তুই নিজে ঠিক হ আগে বেজন্মার বাচ্চা।বেশি সাধু সাইজো না নিজে চোদনা।তোর পরিবারের ভেতর ও অনেকে এইগুলা করে বেড়াইতেছে যাইয়া দেখ। এই জিনিস গুলা আজকে নতুন না অনেক পুরাতন তাই কোন আইন করে এইগুলা বন্ধ করা যাবে না। যতদিন না মানুষ ব্যাক্তিগত ভাবে ঠিক হবে ততদিন এইগুলা চলবে।,1,crime
তুমি এগিয়ে যাও আরো সেই পার্থনা করছি,0,religion
তারাতারি ফাসি দেয়া হোক তাদের,0,crime
ওবায়দুল কাদেরের জাঙ্গিয়ার দাম মনে হয় লাখ টাকা করে শালার কাউয়া কাদের,1,politics
"আমিনের সাথে কি আবার???<br />মিসা কে যে ভাবে ট্রেইলারে দেখালো তার একশো ভাগে ৫ ভাগ ও দেখায় নি,,<br />তার মানে কি আমিন খান অথিতী চরিত্রে??<br />আর কি আমিন খান কে নায়ক হিসেবে দেখতে পাবোনা??/",0,entertainment
দেওয়ানবাগীর বলদ ভক্ত সবগুলা গাজা খায় মেয়াদউত্তীর্ন,1,religion
এর জন্যই অামরা বাংঙ্গালি অামরা কেও ই গান শুনি না দেখি গানের ভিডিও অারে ভাই অাপনারা অাগে প্রিতম ভাইয়ার গানের কথা গুলা শুনে কিছু শিখুন পরে কমেন্ট করেন ভাইয়া গানের কথা গুলা যেমন সত্য তেমন ই মঝার অাপনি বলেই হয়ছে তা না হলে হতো না এমন ভালো গান,0,entertainment
বিচারকদের কাছে পাইলে জুতা দিয়া পিডাইতাম বাবা মা ভদ্রতা শিখায়নি😠,0,entertainment
ওই বেশ্যাটাকে জন সম্নুখে আনা হোক,1,crime
খুব ভাল ছবি কাতার প্রবাসী ----০০৯৭৪৩০৪৫৮৪১৬,0,entertainment
এটার প্রধান সমস্যা হচ্ছে আমাদের প্রধানমন্ত্রী নারী তাই নারীদের এত নির্যাতন হচ্ছে তার কোন বিচার কার্যক্রম চলতেছে না বাংলাদেশের সব সস্তা যদি বা আইন প্রয়োগ করতে পারত তাহলে কোন কর্মকর্তা এই কান্ড ঘটাতে পারত না।,0,crime
বাল পাকনার বাচ্চা গীবত করে।,1,religion
হাসি থামাতে পারলাম না,0,religion
খুব সুন্দর লাগছে very nice,0,entertainment
এরকম মুভিই আমাদের দরকার পুরো মুদরাই জোস বিষেশ করে রমজান কাকার অভিনয় টা অতুলনিয় 👌👌👌,0,entertainment
মাগির ভুদা কতো রস।,1,crime
রংপুর কে ধন্যবাদ দিলাম,0,sports
মুভি টা খুব সুন্দর?? 👍👍👍💜💜👌👌👌👌👏👏👏,0,entertainment
চোখে জল আসল! আল্লাহ তুমি হক পন্থি আলেমদের হেফাজত কর ৷ আমিন ৷,0,religion
ভাই ছবিটা আপলোড দিলে কি চুদে নাকি আপনাদের কে,1,entertainment
পাপনের মুখটা দেখুন নিজের গদি ধরে কখন জানি টান মারে সেই টেনশন ধরে গেছে শালা গাঁজা খুরি কথা বার্তা তুই আগে পদত্যাগ কর দেখ নতুন কেউ আসলে কি ভাবে চালায়,1,sports
কোন অপরাধের বিচার হয় না দেইখা দিন দিন অপরাধীর সংখ্যা বৃদ্ধি পায়তাছে ।,0,crime
এই খানকির পোলা রুবেল কই গান গাইছে শুনা মাগির বাচ্চা তর মায়রে তুর বাপের কান্দে ফালাই চুদি ভোদার পোলা....next time no sorry mind it,1,sports
অজ্ঞান হাওয়া এগুলো সব নাটক এই খানকি মাগীরে রাস্তায় ফালাইয়া সাধারন জনগন মিলে চোদা উচিত,1,crime
আজ যেই সালাই বসের সাথে পাংগা নিছে সেই সালারাই ধরা খাইছে,0,entertainment
এসব পাপনের চাল বাসে আর কিছু পায়না দেখে এখন সাকিবকে এই ঝামেলায় ফেলতেছে😡পাপন বাংলাদেশের ক্রিকেটকে ধবংস করে দিবে।পাপন সভাপতির পদ থেকে বহিষ্কার করা না হলে বাংলাদেশের আগামী দিন জিম্বাবুয়ের মতো হতে পারে??,0,sports
কেউ কোন বাল ছিড়তে পারবে না। সে সরকারের মাল।,0,crime
দারুণ দিলে,0,entertainment
কিছু কিছু ভালোবাসা আছে তার জন্য যদি মরে যায় তবুও সুখ পাওয়া যায়,0,entertainment
শালা তো জামালপুররে খেয়ে দিলো😍 শালারে কাছে পাইলে আমার পোষা কুকুর দিয়ে পুটকি মারাতাম,1,crime
দুষ্টু গরুর চেয়ে শূন্য গোয়াল অনেক ভালো!!,0,sports
নাউজুবিল্লাহ!!!!! এরা মুসলিম না মুসলিম নামের কলক্ক ইবলিসের দল,0,religion
ভাই মুসলমানের আবার আগের জনমে মানে কি,0,religion
সালা শুধু লোকটাকে তুলে নিয়ে গেল কেনবৌটাকেও তোলা উচিত সামনে দাঁড়িয়ে মদত দিচ্ছে এইসব কুলাঙ্গার ছেলে বউ থাকার চেয়ে না থাকায় ভালো শিক্ষিত ছেলের কি কাজআবার বলছে রাগে করে ফেলেছিক্ষমা চেয়েছি সালা ওকেও ঐভাবে মারা উচিত,1,"Meme, TikTok and others"
এই মাগির পুর সাথে করে দুইটা মাগি নিয়ে ঘুরে এদের যখন তখন ব্যবহার করে শালা এখন বলছে এই মাগিদের নাকি উড়না নিয়ে টানাটানি করছে আর এদের নুর সহ তার সহযোগিরা সারারাত মাদক নিয়ে পরে থাকে।,1,politics
বাংলাদেশের খেলাদেখা ভোলে গেছি নাড়ের ছাবাল গের জন্য দেশের বদনাম,0,sports
মমোর মায়েরে বাপ ফাহমির মায়েরে বাপ এই বিচার কার্যে যে শালার পুত ছিলো তার মায়েরে বাপ,1,entertainment
দৃষ্টিকটুর কস কা দৃষ্টিকটু। না পারস বাংলা আমি শিওর ইংরেজিও পারস না। আমেরিকায় বইসা বাপের ট্যাকা নষ্ট না কইরা বাংলাদেশে ফেরত আও আর কাম কাজ করো। মা বাপ কিছুতো ফেরত পাইবো। নাইলেতো টোটাল লস।,0,entertainment
সাকিব কে বাদ দিলে আগুন জ্বালিয়ে দিব।,0,sports
শালারে নুচ্চাগো মতো দেখা যায়,1,crime
সব দুষ এই মাগির বাচ্চার,1,crime
সালা মাদারচোদ,1,sports
লুইচ্চা মাদার ফাকার তোর আসল রুপ পোলাপান বুঝতে শিখছে।,1,celebrity
খানকি মাগিটাই এই জঘন্য হত্যার মূল হোতা এতে কোন সন্দেহ নেই।,1,crime
গরীব বেয়াদব মদ খায় সালারপুত মদ না খাইলে তোগো বুদ্ধি হইবো না।,0,sports
মার মার মারতেই থাক এইটা বাপ নামের কলংক এইসব কুত্তার জাত বাবাকে প্রতিটা দিন শুরু হোক আরো জঘন্যভাবে মেরে আমরা আছি ছেলের পক্ষে দাদা প্রদিপ সাহস হারিও না তোমাকে সালাম বা প্রনাম ভগবান তোমার মঙ্গল করবেই আর আদরের বৌটাকে কষ্ট দিও না বৌ এর মতো আপন আর কে আছে দাদা প্রদীপ তোমার বৌটা খুব বেশি লক্ষী তাকে সারাদিন রাখবে আদরে আদরে মা লক্ষী তোমার ঘর কখনও ছাড়বে না মাকেও মারতে হবে সুযোগ পেলেই মাকে মারলে তোমার লক্ষী বৌ সোনা খুশি হবে মা লক্ষী তোমার মংগল করবেই,1,"Meme, TikTok and others"
এটাই বাংগালি জাতির ধরমো নিজেরা কিচু করতে পারেনা আরেক জনকে নিয়ে সমলোচনা করতে পারে ঠিকি,0,sports
"আমি অন্তত খুশি । সাব্বির তো অনেক চাপের মধ্যে ছিল, এইজন্য এই রকম উদযাপন করছে সেঞ্চুরি করে । সমালোচনা না করে ওকে আরো সাহস দেয়া দরকার যাতে সামনে বিশ্বকাপেও ভাল করতে পারে ।",1,sports
আরে দেশে বিচার নাই এই জাগা যদি হুজুর থাকতো তাহলে সারা বাংলাদেশে হয় চই সুরু হয় জেতো,0,crime
এটা পাপন মাদারির কাজ জেনে থাকলে বছর পর কেনো বলবে????,0,sports
বালের ডাইলগ।<br />বস্তি মার্কা,0,entertainment
ফিনিশ হয়ে যাবে ফিনিশ🤣🤣,0,sports
সানাই তোরে চুদবো,1,entertainment
নিজের আপকম ধামাচাপা দেয়ার সুজগ নেই বিচার চাই,0,crime
সবনম ফারিয়া হইছে একটা অস্ট্রেলিয়ান গাভী আর মম একটা দেশী মাগি আর দারি ওয়ালা টা হইলো একটা গাঞ্জা খোর খানকির পোলা 🐒,1,entertainment
তাহেরি নিজেকে সংসোদন করো,0,religion
গাদা তুই তোর বাপ নোমান কাসেমীরে চিনসনা ওলিপুরিরে চিনিস । পাগল ছাগলের দল,1,religion
পারে না সূরা ফাতেহা বলতে ওরা আবার মামুনুল হকের ভুল ধরে হালার নাস্তিক কতগুলা,1,religion
এরকম করে নুসরাতের পরিবার ও একদিন কান্না করে ছিল তোদের জন্ম দেওয়া কুলাঙ্গার সন্তানদের কারণে,1,crime
সেই ছটো বেলা থেকে পুরামন ছবির গান সুনছি আর আজ দেকলাম পুরামন ছবিটা.......onek sonsse ai sobir khta......?,0,entertainment
তোমারা যে দেওয়ানবাগী হুজুর এর বিরুদ্ধে যারা প্রচার করছ আল্লাহ্ তোমাদের হেদায়েত করুক তোমরা মুনাফেকের মত কাজ করিতেছ ?,0,religion
ওকে হাফেজ কেন বলা হচ্ছে ওকে খুনি পরিচয় দেওয়াহোক,0,crime
আপনি কি আপনার দুধ বিক্রি করবেন প্রতি লিটার টাকা দিবোনে,1,entertainment
ওর মতো ক্রিকেটার বাংলাদেশে কোন প্রয়োজন নেই।,0,sports
ভালো করেই হোগা মারা দিলেন হাহাহা,0,entertainment
এ কেমন মজা খুব খারাপ,0,sports
ভাই যে এ ক্যামরাটা লাগিয়েছে তাকে জাতির সামনে এনে পুরুষ্কার দেওয়া হোক,0,crime
মিথ্যাবাদি মহিলাটা নিজেই ছড়ায়ে ধরতেছে সে কি সত্যি কথা বলবে মেয়েটিকে রিমান্ডে নিলে সত্যি কথা বের হবে। চোরে কখনও চুরি করছে সেটা শিকার করেনা।,0,crime
কি খেলা দেখাইলা রাসেল ব্র 😎😎 রাজশাহী চলে গেলো ফাইনালে🤪🤪🤪 ঢাকা তুমি অপেক্ষা কর আসতেছি আমরা 👹 খেলা হবে ফাইনালে🤜🤛,0,sports
মিজানুর রহমান আজহারী হুজুরের সঙ্গে কোনো তুলনা হয় না|❤ ভন্ড তাহেরী নিজেকে মিজানুর রহমান আজহারী হুজুরের সঙ্গে তুলনা করেছে😡,0,religion
রাসেলের কারনে অনেকের কপাল পুড়েছে।রাসেল অনেক অনেক ভালো খেলোয়ার। অভিনন্দন রাজশাহীকে।,0,sports
এই লোকগুলোর জানোয়ারের তো খারাপ,1,crime
আসলেই রুচিসম্মত।,0,entertainment
এই হলো খানকি,1,religion
রিপাত যে কলেজে আসবে নয়নরা জানলো কি করে মিন্নি বলেছে তাই সব এসেছে প্রেন করে,0,crime
পাপনের সেচ্চায় পদত্যাগ করা উচিৎ,0,sports
দেখে নাকি আবার মেয়েরা পাগল হয় ?,0,sports
ভাই ওক দিয়ে সরকার বালতুলবি,0,entertainment
"প্রিয় সালমান প্রিয় হোমায়ুন ফরিদী আমাদের মাঝে আর আসবেনা,, সুবর্ণা মুস্তাফা হুমায়ুন ফরিদী কে ছেড়ে তার নিজের স্বার্থ হাসিল করেছে আর সামিরা চৌধুরী সালমান শাহকে হত্যা করে সুখের সংসার করছে কী আজব দুনিয়া রে ভাই",0,entertainment
আহারে সুখ শান্তি😂😂 শান্তনা আর কি😂,0,crime
শালার বোকা বাঙালি এটা হল একটা গান্ডু যাকে বলে হিজরা আর হিজড়ার সাথে তোরা মজা নিচ্ছিস হাহাহাহাহা মরে গেলাম,1,"Meme, TikTok and others"
ঠিকই আছে বিচার এদের কে নিয়ে আলোচনা সমালোচক করা অনুচিত ওকে,0,crime
দেওয়ানবাগীকে যারা বিশ্বাস করে তারা কাফের অফ দেওয়ানবাগী কুত্তার বাচ্চা এতে কোন সন্দেহ নেই,1,religion
এরকম বিকৃত মানসিকতার লোক কখনোই বাংলাদেশ দলে না আসুক।,0,sports
মাদারচুদ তর বয়স কত নাক টিপলে দুধ বের হবে বাল পাকনা আইছে ওয়াজ করতে এগুলা অই শিশু দোষ না দোষ হলো তার বাবা মা,1,religion
বঙ্গবন্ধুর প্রেতাত্মা কে ধরে নিয়ে আসা হইছে ওপার থেকে বিপিএলের ফাইনাল দেখতে বঙ্গবন্ধুর প্রেতাত্মা এখন কাউয়ার উপর ভর করে কাউয়ার রূপে আমাদের মাঝে আমরা সবাই স্বাগত জানাই ভবিষ্যতে আশাকরি দেশের পাবলিক টয়লেট গুলিও বঙ্গবন্ধুর নামে করে সেখানে বঙ্গবন্ধুর উপস্থিতি নিশ্চিত করবে তার তাজাজ্জুদি কন্যা বঙ্গবন্ধুর জন্মশতবার্ষিকী উপলক্ষে আমি ইতিমধ্যে আমার কমডেও একখানা বঙ্গবন্ধুর ছবি লাগাইছি হাগতে বসলেই দেখি আর ভাবি কত সৌভাগ্যবান আমাদের বঙ্গবন্ধু! আর কত দুর্ভাগা জাতি আমরা !!! এক বঙ্গবন্ধু মইরাও সালা মরে না! আর এক আমরা হাগতে বইয়া ভাবতে হয় বঙ্গবন্ধুর কথা 🤔,0,sports
পাপনের মায়রে বাপশালারে একেবারেই দেখতে ইচ্ছে করে না,1,sports
লুচ্চামি করার জন্য মেয়েদের চাকরীতে রাখে। দেখা যায় লুচ্চার মত,1,crime
হে আল্লাহ তাদেরকে এমন শাস্তি দেন তারা যেন জাহান্নামেও জায়গা না হোক,0,religion
তরে থাপ্পড় দিয়ে টেস থেকে নামা হারামজাদা,1,religion
কাইন্দা লাভ নাই,0,crime
৭১- এ গর্তের ভেতরে লুকিয়ে এখন যারা মুক্তিযুদ্ধের গল্প শোনায় তারা গর্তজীবী- গর্তযোদ্ধা।তাদের মুখে মহান মুক্তিযুদ্ধের কাল্পনিক গল্প শোনা বোকামী। তাদের কে স্যার বলে ডাকা ন্যাকামি। জাফর আর মীর জাফর এক গোয়ালের দুষ্ট বলদ।এরা বাঙালির জন্য ব্রিটিশ আমল থেকে বিপদজনক।,1,celebrity
তর৷ মারে৷ তুই৷ চুদ৷ মাগির৷ পোত,1,sports
অপুকে পতিতার মতো লাগে খানকি মাগি,1,politics
ঘরে চিকেন বিরিয়ানি রেখে ফুতপাতের চটপটি খেতে গিয়ে উনার পেট খারাপ হয়ে গেছে বেচারা,0,crime
কোন গাছ বলদে এ নাটক পরিচালনা করছে আবাল,1,entertainment
সিলেটের মান ইজ্জত সব ডুবাইছে আচোদা দল গঠন করে।,1,sports
বর্ষার গেন্জির আনারস দেখে মধুপুরের আনারস চত্তর এর কথা মনে পড়লো,0,entertainment
চার মাগির বাচ্চা তোরা সবাইতো ইসলামি বিরোধী খানকিরপোলা।,1,religion
আগের ছবি গুলো খুব খারাপ!😓😰🇧🇩,0,entertainment
এরে সানাই তোরে বলছি ছেকছ বিডিও করতি আমি দেকতাম একটু,1,entertainment
ধুর হালা চামচা..😂😂,1,celebrity
খানকির ছেলে!!!,1,celebrity
সানাইকে কুকুর দিয়ে চোদাও,1,entertainment
"আসল কাহিনী গুলোই ত কেটে দেওয়া হয়েছে, ছবিটা দেখে তেমন কোনো মজা পেলাম না, কারন একটাই কিছু অংশ কেটে দেওয়ার জন্য।",0,entertainment
খানকীর পোলা সব পা চাইতে বি সি এস পাস কইরা হয় আমলা। দেশের প্রজা হইয়া ভাবে দেশের রাজা হইসে আর যা মন চায় তাই করে। কুত্তার বাচ্চাদের নুনুটা কর্তন করা উচিত।,1,crime
এই পতিবিন্ধ তুই চুপ কর ওহাবির কিট নাসক,1,religion
এ কুত্তার বাচ্চা তো চোর হালারে জুতা দিয়ে পিঠা,1,politics
তদের বিরুদ্ধে একশন নেওয়া হবে ত্বরা বাস্তবেই ইয়াবা ব্যবসা করিস।থানায় তদের নামে জিডি করা হয়েছে,0,crime
হালা বলদ নং ওয়ান।,1,celebrity
দেওয়ান বাগি কুত্তার ধন তোর মুখে ঢুকামু সালা,1,religion
মাশআল্লা আল্লাহ তোমাদের কে হায়াত দেক বেশি,0,religion
কুকুর টার নাম কী ঠিকানা কী অামি নিজে গিয়ে কুকুর টাকে পিটাব,1,"Meme, TikTok and others"
এদের কে ভালোবাসা বেশি হয়ে গিয়েছে।,0,sports
ছবিক কাহিনি ভাল ছিল কিন্তু কাটা কাটি করে দেওয়া কোন মজাই নেই দেখে।,0,entertainment
"ম্যাচ হারলেও সমস্যা, জিতলেও সমস্যা, সেলিব্রেশনেও সমস্যা, তাহলে ক্রিকেটারটা করবে টা কি?আজব জাতি বাঙ্গালী।",0,sports
চুতমারানির পোলারা ভিডিও হইছে মিনিট হইছে মিনিট চোদাস কা,1,crime
এতো মানুষ থাকার পরেও ছেলেটাকে কিভাবে মারলো,0,crime
মদি কে মেরে ফেলা হোক,1,"Meme, TikTok and others"
ম্যান অফ দ্যা ম্যাচ কে হইছে কারো জানা থাকলে বইলেন,0,sports
নুসরাত এর জন্য দুয়া করবেন সবাই,0,crime
নতুন সৌম্য দেখলাম। 😘,0,sports
আমি মুশফিকের ফ্যান ছিলাম। কিন্তু আজ থেকে আর না। খারাপ খেললে সমালোচনা করতেই পারে তাই বলে গায়ে হাত দিতে হবে। এই ফ্যানদের জন্যই আজ তারা বিখ্যাত। মুশফিক কঅত বছর খেলে তা দিয়ে কি করবে। জন্ম থেকেই বাংলাদেশের মানুষ এই দেশের খেলা দেখে। মুশফিককে সংযত হওয়ার দরকার ছিল।,0,sports
শাকিল ভাই আপনি আবার ছবি করেন আপনার মুভি গুলো অসাধারণ,0,entertainment
আহলে খবিশদের উপদ্রব বড় বেড়ে গেছে।।সালারা অনলাইনে যত বাহাদুরী।পারলে সরাসরি বস না কেন??,1,religion
মাকে যারা ভালোবাসেন তারা হাত তুলুন☺💕 i love u mom but i really miss u😞😌💔,0,entertainment
নাস্তিক গুলোর বিরুদ্ধে আল্লাহর কাছে বিচার রইল।,0,religion
চোদা,1,entertainment
রুবেলের চেয়ে ভাল ভাল খেলুয়ার আছে দেশে গাজা খুর কি ভাবে খেলতে পারে,1,sports
যাক দেশে তাহলে অাইন নামক জিনিস আছে এখনো,0,crime
এই গল্পগুলো হুমায়ুন আহমেদ ছাড়া কাউকে দিয়েই সম্ভব না। অনলি হুমায়ুন আহমেদ ইজ রিয়েল। 💝,0,entertainment
মুশফিকের মায়রে চুদি সাথে ঐ ওভির মায়রেও চুদি😠😠,1,sports
দুনিয়ার কোনো মানুষ আমার নবী স এর শিক্ষক নয় মহান আল্লাহ স্বয়ং তিনার শিক্ষক যখন জিবরাইল আ রাসুল স কে বললেন ইকরা অর্থাৎ পড়ুন তখন কিন্তু তিনি চুপ ছিলেন তারপর যখন আল্লাহ তাকে পড়ার শক্তি দিলেন তখন তিনার ওপর নাযিল হলো সূরা আলাকের প্রথম আয়াত,0,religion
ভ্রান্তির বেড়াজালে না গিয়ে মুক্ত মনে সত্য কে উপলব্ধি করে জনসমক্ষে প্রচার করার জন্য আপনাকে অশেষ ধন্যবাদ প্রিয় দিভাই।,0,religion
সাসালার পোরা কই ভিডিও,1,entertainment
দেওয়ান মাগি 😂,1,religion
হাই ওয়ান রোবেল,0,sports
হাহাহাহা,0,sports
দোয়া করি বাচচা গুলোর জিবন সুন্দর হয়,0,entertainment
বাংলাদেশ কি কোন আইন নাই ভিডিও তো তো পুরা পোস্টে বোঝা যাইতেছে যে মিনি জড়িত একবার বের হয়েও মিনি ওই দিকে তাকায় ওরা কোথায় তখন যদি মিনি বাইকে উইঠা চইলা যাইতো তাহলে হয়তোবা এটা হতো না বাংলাদেশের আইন কি এতই ঢিলা ঢালা বোঝেনা এখনই মিনি কে গ্রেফতার করে রিমান্ডে নেওয়া উচিত এই শালী মেন খুনি,0,crime
সেক্স,1,crime
খেলার মধ্যে নাই বাদ দাও,0,sports
মাগির থেকেও খারাপ,1,entertainment
তোর মায়ের ভোদা দিয়া কি তুই জন্ম হয়েছোচ না পুটকি দিয়া তোর মা বোনরে কুত্তা দিয়া চোদাই খানকির পুত তুই সব সময় এমন উল্টা পাল্টা জিনিস ছারোছ তো কি জিব্বায় তোর মায়ের মাসিক লাগাইছোচ নাকি কুত্তার চোদায় জন্ম তোর জিব্বা বড় এমন লেহাইয়া লেহাইয়া জিব্বায় বাজাইয়া কথা চোদাছ কেনো,1,sports
কোয়া কাদিরা শালায় বাংলাদেশের গরীবের পেটে লাথ্থি মারছে রেয়াই পাইবেনা কোয়া কাদিরা বাংলার মাটিতে রেয়াই পাবেনা,1,politics
বেজম্মার বাচ্ছারা তগো ভইরা দিমু,0,religion
ফাসি দেওয়া হউক চোদারনির পুলারে😡😡,1,crime
শিহরিত,0,entertainment
তরে আরো পাচ ঘন্টা চুদার দরকার মাগী তর ভোদার ভিতরে কত পানি আছে,1,crime
ইন্টারনেট থাকার কারণে 25 বৎসর পর আবারও দেখতে পেলাম,0,entertainment
খুবসুন্দর একটা সচেতন মূলক নাটক দেবার জন্য মেহেজাবিন এবং আরফান ভাইকে ধন্যবাদ।,0,entertainment
এতে করে সাকিবের লাভ হলোকারণ সাকিব জানে কার ইশারায় কল কাটি নড়ে আমার প্রশ্ন হলআইসিসি দুই বছর কোথায় ছিল নাকি পাপইননা হালার বিরুদ্ধে যাওয়ায় এটা এখন সামনে এলআর কত দুই নাম্বারি করবিসব কিছু একদিন প্রকাশ হবে,0,sports
পোড়ি বেস টা সুন্দর না Trailer দেখে মোটামুটি সরিলটা ভাভআসছে না কোনো হৈ চৈ আছে 😂😂,0,entertainment
ভগবান শ্রীকৃষ্ণের বলছেন যে বালো বাসা আনোদ ভকতি যেখানে নেই তাৰা কি মানুষ তাই সেখানে নাথা ভালো,0,entertainment
আবালের বাচ্চাগুলোকে জুতার বারি দিয়ে ব্যবহার শিখানো উচিৎ।,1,entertainment
এ হালার ঘরের হালা,1,sports
মুরগি চোরা শাহরিয়ার কবির এই কুত্তারে দেশ থেকে লাথি মেরে বের করে দেওয়া উচিৎ আমার মনে হয় এটা মুজিব হত্যাকারীদের মধ্যে একজন পাশেই বসে আছেন সামিয়া রহমান বেশ্যা কোথাকার,1,religion
ভাল রোস্ট হল বালের মাসুদ রানা,1,entertainment
পাপনের মা রে চুদিবাংলাদেশ বোড মা রে চুদিসবায় বল এক সাথে পাপনের মা রে চুদি,1,sports
চামচা গোলি দের পিটানুর দরকার চামচারা খেলা কি বোজে,0,sports
শেষ কথা গুলি অতি বাস্তব?,0,entertainment
খানকীর পোলার গো নাটক দেখলে অামার ধন কাড়ায় যায়,1,politics
ফকিরনির বাচ্চারা তাদের বমিমার্কা কমেন্ট নিয়ে হাজির্। এদের নিজেদের বমি জোর করে খাইয়ে দেয়া উচিৎ !,1,celebrity
এই মাদারচোদের বাচ্চারা তো ফাঁসি দেওয়ার দরকার,1,"Meme, TikTok and others"
অকে দোলাই দিয়ে বেৰকৰে দেউয়া হক অই শালাৰ বাচ্চা মাজাৰেৰ বন্ধমি পিৰ,1,religion
দুই দিনের বাচ্চা কই কি । ওর তো বালই হয়ই নাই,0,religion
